url,name,birth,death
http://www.phil.muni.cz/fil/scf/komplet/adam.html,Daniel Adam z Veleslavína,* 31. 8. 1546 Veleslavín u Prahy,† 18. 10. 1599 Praha
http://www.phil.muni.cz/fil/scf/komplet/adamik.html,Richard Adamík,* 4. 4. 1867 Hranice na Moravě,† 15. 8. 1952
http://www.phil.muni.cz/fil/scf/komplet/albert.html,František Albert,* 29. 4. 1856 Žamberk,† 22. 7. 1923 Potštejn
http://www.phil.muni.cz/fil/scf/komplet/albik.html,Albík z Uničova,* asi 1358 Uničov,† 1427 Uhry
http://www.phil.muni.cz/fil/scf/komplet/alexej.html,Nikolaj Alexejev,* 1. 5. 1879 Moskva,† 2. 3. 1964 Ženeva
http://www.phil.muni.cz/fil/scf/komplet/altr.html,Michal Altrichter,* 19. 6. 1965 Kopřivnice,
http://www.phil.muni.cz/fil/scf/komplet/amerl.html,Karel Slavomil Amerling,* 18. 9. 1807 Klatovy,† 2. 11. 1884 Praha
http://www.phil.muni.cz/fil/scf/komplet/armbrs.html,Ludvík Armbruster,,
http://www.phil.muni.cz/fil/scf/komplet/arnold.html,Emanuel Arnold,* 9. 11. 1800 Mnichovo Hradiště,† 4. 1. 1869 Praha
http://www.phil.muni.cz/fil/scf/komplet/ariaga.html,Rodrigo de Arriaga,* 1592 Logroňo,† 1667 Praha
http://www.phil.muni.cz/fil/scf/komplet/augolm.html,Augustin Olomoucký,* 1467 Olomouc,† 3. 11. 1513 Olomouc
http://www.phil.muni.cz/fil/scf/komplet/babak.html,Edward Babák,* 8. 6. 1873 Smidary u Nového Bydžova,† 30. 5. 1926 Brno
http://www.phil.muni.cz/fil/scf/komplet/bakos.html,Vladimír Bakoš,* 23. 1. 1949 Bratislava,† 18. 12. 2009
http://www.phil.muni.cz/fil/scf/komplet/balabn.html,Milan Balabán,* 3. 9. 1929 Boratín (dnes Ukrajina),† 4. 1. 2019 Libice nad Cidlinou
http://www.phil.muni.cz/fil/scf/komplet/balazo.html,Jana Balážová,* 1. 8. 1952 Martin,† 7. 10. 2004 Bratislava
http://www.phil.muni.cz/fil/scf/komplet/balbin.html,Bohuslav Balbín,* 3. 12. 1621 Hradec Králové,† 27. 11. 1688 Praha – Staré Město
http://www.phil.muni.cz/fil/scf/komplet/balej.html,František Balej,* 29. 9. 1873 Kounice u Českého Brodu,† 4. 11. 1918 Praha
