osCislo,site,gis,http,nlp,pdf,sum
F22B0133P,0,1,2,2,2,7
F23B0019K,2,2,2,2,2,10
F23B0024K,0,1,0,0,0,1
F23B0027K,0,2,0,0,0,2
F23B0031K,0,2,2,2,2,8
F23B0033K,2,2,2,2,2,10
F23B0035K,0,2,0,0,0,2
F23B0038K,2,2,2,2,2,10
F23B0039K,0,2,2,2,2,8
F23B0043K,2,2,2,2,2,10
F23B0044K,2,2,1,0,0,5
F23B0045K,0,2,2,2,2,8
F23B0046K,0,0,2,2,0,4
F23B0051K,0,2,2,1,0,5
F23B0052K,2,2,2,2,2,10
F23B0053K,0,2,2,2,0,6
F23B0057K,0,2,2,2,0,6
F23B0062P,2,2,2,2,2,10
F23B0064K,0,1,0,0,0,1
F23B0068K,2,2,2,2,2,10
F23B0073K,2,2,2,2,2,10
F23B0082K,0,2,2,2,2,8
F23B0096P,0,0,0,0,0,0
F23B0197P,2,0,0,0,0,2
F23B0198P,2,2,0,1,2,7
F23B0200P,2,1,2,2,2,9
F23B0204P,2,2,2,2,0,8
F23B0210P,2,2,2,2,2,10
F23B0215P,2,2,0,0,0,4
F23B0216P,2,2,0,2,2,8
F23B0218P,2,2,2,2,2,10
F23B0219P,2,2,0,0,2,6
F23B0220P,0,2,0,0,0,2
F23B0224P,2,2,2,0,2,8
F23B0233P,2,2,2,2,2,10
F23B0241P,2,1,1,0,0,4
F23B0242P,0,2,0,0,0,2
F23B0243P,2,1,2,2,2,9
F23B0247P,2,2,2,2,2,10
F23B0250P,2,2,0,2,2,8
F23B0251P,2,2,0,2,2,8
F23B0264P,2,0,0,2,2,6
F23B0265P,0,2,2,2,2,8
F23B0266P,2,0,2,2,2,8
F23B0267P,0,0,0,0,2,2
F23B0278P,2,2,2,0,0,6
F23B0279P,2,2,2,2,2,10
F23B0280P,2,2,2,2,2,10
F23B0283P,2,2,2,0,2,8
F23B0287P,2,2,2,2,2,10
F23B0288P,1,2,2,0,0,5
F23B0289P,2,0,2,2,0,6
F23B0290P,0,2,0,0,0,2
F23B0295P,2,2,2,2,2,10
F23B0298P,2,0,2,2,0,6
F23B0300P,2,2,2,2,2,10
F23B0301P,0,2,2,0,0,4
F23B0303P,2,2,2,2,2,10
F23B0304P,2,1,2,2,2,9
F23B0305P,2,0,2,2,2,8
F23B0315P,2,0,0,1,2,5
F23B0316P,0,0,0,0,0,0
F23B0319P,2,2,0,0,2,6
F23B0324P,2,2,0,2,2,8
F23B0334P,2,1,2,2,2,9
F23B0335P,2,2,2,2,0,8
F23B0348P,2,0,0,2,0,4
F23B0349P,1,2,2,2,2,9
F23B0357P,2,2,2,2,0,8
F23B0360P,0,0,0,0,0,0
F23B0362P,2,2,2,2,2,10
F23B0369P,2,2,2,2,0,8
F23B0371P,0,0,0,0,0,0
F23B0376P,0,1,0,0,0,1
F23B0384P,0,2,2,0,0,4
