url,name,birth,death
http://www.phil.muni.cz/fil/scf/komplet/adam.html,Daniel Adam z Veleslavína,* 31. 8. 1546 Veleslavín u Prahy,† 18. 10. 1599 Praha
http://www.phil.muni.cz/fil/scf/komplet/adamik.html,Richard Adamík,* 4. 4. 1867 Hranice na Moravě,† 15. 8. 1952
http://www.phil.muni.cz/fil/scf/komplet/albert.html,František Albert,* 29. 4. 1856 Žamberk,† 22. 7. 1923 Potštejn
http://www.phil.muni.cz/fil/scf/komplet/albik.html,Albík z Uničova,* asi 1358 Uničov,† 1427 Uhry
http://www.phil.muni.cz/fil/scf/komplet/alexej.html,Nikolaj Alexejev,* 1. 5. 1879 Moskva,† 2. 3. 1964 Ženeva
http://www.phil.muni.cz/fil/scf/komplet/altr.html,Michal Altrichter,* 19. 6. 1965 Kopřivnice,
http://www.phil.muni.cz/fil/scf/komplet/amerl.html,Karel Slavomil Amerling,* 18. 9. 1807 Klatovy,† 2. 11. 1884 Praha
http://www.phil.muni.cz/fil/scf/komplet/armbrs.html,Ludvík Armbruster,,
http://www.phil.muni.cz/fil/scf/komplet/arnold.html,Emanuel Arnold,* 9. 11. 1800 Mnichovo Hradiště,† 4. 1. 1869 Praha
http://www.phil.muni.cz/fil/scf/komplet/ariaga.html,Rodrigo de Arriaga,* 1592 Logroňo,† 1667 Praha
